team,lat,lng
20,42.85,-73.785
28,40.982,-72.307
145,42.541,-75.527
191,43.17,-77.601
229,44.67,-74.981
250,42.72,-73.821
263,40.808,-73.13
271,40.705,-73.243
287,40.766,-72.854
329,40.817,-72.985
333,40.598,-73.974
334,40.682,-73.98
335,40.694,-73.99
340,43.075,-77.835
352,40.751,-73.612
353,40.778,-73.482
354,40.694,-73.99
358,40.823,-73.196
378,43.272,-78.707
395,40.832,-73.91
496,40.946,-73.061
514,40.944,-72.991
522,40.632,-74.093
527,40.668,-73.459
533,40.688,-73.374
545,40.725,-73.517
564,40.878,-72.953
569,40.756,-73.572
578,43.089,-77.436
601,40.873,-72.52
639,42.441,-76.497
640,40.712,-73.794
694,40.717,-74.015
743,40.874,-73.871
806,40.625,-74.03
810,40.854,-73.214
870,41.056,-72.429
871,40.712,-73.301
884,40.675,-73.673
1126,43.22,-77.462
1155,40.866,-73.9
1230,40.846,-73.841
1405,43.14,-77.456
1450,43.183,-77.604
1468,40.762,-73.523
1493,42.7,-73.858
1507,43.16,-78.692
1511,43.14,-77.456
1518,43.062,-77.222
1546,40.655,-73.61
1551,42.64,-77.39
1554,40.636,-73.638
1559,42.987,-77.418
1585,42.976,-77.244
1591,43.257,-77.665
1600,40.67,-73.894
1601,40.745,-73.934
1635,40.735,-73.878
1660,40.827,-73.938
1665,42.247,-73.755
1751,40.914,-73.046
1796,40.745,-73.934
1803,40.835,-73.696
1880,40.792,-73.945
2027,40.788,-73.588
2053,42.151,-76.055
2161,40.814,-73.363
2228,42.969,-77.578
2265,40.866,-73.9
2340,43.145,-77.549
2344,40.946,-73.867
2347,40.678,-73.396
2487,40.738,-73.13
2579,40.761,-73.93
2601,40.728,-73.82
2638,40.774,-73.719
2791,42.746,-73.763
2869,40.74,-73.486
2872,40.788,-73.588
2875,40.86,-73.442
2895,40.601,-73.758
3003,42.869,-77.285
3004,40.88,-73.907
3015,43.19,-77.804
3017,40.737,-73.795
3044,43.005,-73.849
3137,40.768,-73.116
3157,43.214,-77.555
3171,40.83,-72.647
3173,43.112,-77.562
3181,43.069,-77.514
3204,40.712,-73.794
3419,40.782,-73.951
3624,40.814,-73.363
3760,40.874,-73.871
3799,42.073,-76.804
3838,43.17,-77.601
3950,40.828,-73.608
3951,42.78,-77.582
4006,40.787,-73.196
4012,40.546,-74.179
4093,43.24,-78.207
4122,41.167,-73.854
4203,42.462,-75.049
4263,40.715,-73.988
4299,40.679,-74.001
4383,40.67,-73.937
4458,40.8,-72.797
4508,43.088,-73.601
4528,40.728,-73.82
4567,40.679,-73.491
4571,40.792,-73.945
4640,40.802,-73.953
4773,40.873,-73.828
4930,42.95,-78.86
5016,40.868,-73.41
5030,43.107,-75.231
5099,40.905,-73.331
5123,40.918,-73.895
5149,42.729,-73.668
5202,40.949,-73.786
5254,42.521,-76.668
5298,40.761,-73.93
5421,40.714,-74.006
5590,42.973,-78.845
5599,40.743,-73.759
5659,40.934,-72.308
5736,40.886,-73.244
5806,40.901,-73.905
5881,42.7,-73.858
5891,40.801,-73.937
5943,41.443,-73.681
5964,42.643,-73.945
6195,40.584,-73.954
6300,44.28,-73.982
6401,41.147,-73.996
6422,40.949,-72.936
6423,40.943,-73.112
6463,41.895,-73.977
6484,43.095,-73.503
6490,42.864,-76.991
6590,40.676,-73.874
6593,40.698,-73.835
6621,42.35,-73.587
6636,40.712,-73.794
6648,40.677,-73.845
6746,40.815,-73.502
6806,40.747,-73.64
6868,43.292,-77.79
6870,42.768,-78.887
6873,40.85,-73.936
6880,41.3,-73.792
6892,42.111,-77.942
6911,41.044,-73.961
6969,41.097,-73.977
7004,41.167,-73.854
7016,41.373,-73.85
7027,43.415,-76.1
7030,44.28,-73.982
7031,42.748,-74.187
7036,40.682,-73.98
7251,42.16,-78.73
7272,40.765,-73.986
7318,41.098,-74.011
1537,40.7003793,-73.5929056
5585,42.6978509,-75.2437763
7400,40.7934322,-73.4151214
7504,41.3973335,-73.6171915
7651,42.597702,-73.8218341805793
7668,40.717,-74.015
7718,41.855926,-73.9770826
7730,41.2108695,-74.0182453
7759,41.0350625,-73.864852135741
7903,43.157285,-77.615214
