name,lat,lng
Washington,38.8950092,-77.0365625
Baltimore,39.2908816,-76.610759
Virginia Beach,36.8529841,-75.9774183
Norfolk,36.8462923,-76.2929252
Chesapeake,36.7183708,-76.2466798
Richmond,37.5385087,-77.43428
Newport News,36.9786449,-76.4321089
Alexandria,38.8147596,-77.0902476527272
Hampton,37.0300969,-76.3452057
Roanoke,37.2738215,-79.9602021478478
Portsmouth,36.8354258,-76.2982742
Suffolk,36.7282096,-76.5835703
Lynchburg,37.40088,-79.1844923945909
Frederick,39.4142186,-77.4109269
Gaithersburg,39.1434406,-77.2013705
Rockville,39.0840054,-77.1527573
Bowie,38.9429659,-76.731234
Harrisonburg,38.4493315,-78.8688833
Leesburg,39.1154496,-77.5645446
Charlottesville,38.029306,-78.4766781
Blacksburg,37.2296566,-80.4136767
Manassas,38.744947,-77.4824442252427
Danville,36.5859718,-79.3950228
Hagerstown,39.6419219,-77.7202641
Annapolis,38.9786401,-76.492786
Salisbury,38.3662114,-75.6008881
College Park,38.980666,-76.9369189
Petersburg,37.1924594,-77.3677408
Fredericksburg,38.3031837,-77.4605399
Winchester,39.1852184,-78.1652404
Laurel,39.0992752,-76.8483061
Salem,37.293378,-80.054667
Staunton,38.1495947,-79.072557
Fairfax,38.8462236,-77.3063733
Herndon,38.9695316,-77.3859479
