name,state,pop
Washington,District of Columbia,702455
Baltimore,Maryland,602495
Virginia Beach,Virginia,450189
Norfolk,Virginia,244076
Chesapeake,Virginia,242634
Richmond,Virginia,228783
Newport News,Virginia,178626
Alexandria,Virginia,160530
Hampton,Virginia,134313
Roanoke,Virginia,99920
Portsmouth,Virginia,94632
Suffolk,Virginia,91185
Lynchburg,Virginia,82126
Frederick,Maryland,72146
Gaithersburg,Maryland,68289
Rockville,Maryland,68268
Bowie,Maryland,58682
Harrisonburg,Virginia,54033
Leesburg,Virginia,53917
Charlottesville,Virginia,48117
Blacksburg,Virginia,44678
Manassas,Virginia,41641
Danville,Virginia,40693
Hagerstown,Maryland,40205
Annapolis,Maryland,39174
Salisbury,Maryland,32809
College Park,Maryland,32196
Petersburg,Virginia,31567
Fredericksburg,Virginia,29144
Winchester,Virginia,28108
Laurel,Maryland,25723
Salem,Virginia,25643
Staunton,Virginia,24922
Fairfax,Virginia,24574
Herndon,Virginia,24545
